Primary Authority	Organisation Name	Partnership Type	Regulatory Functions
Cambridgeshire County Council	Mood Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Morning Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Mothercare UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Central Bedfordshire Council	Moto Hospitality Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Moto Hospitality Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bedfordshire Fire & Rescue Service	Moto Hospitality Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Motor Fuel Group Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Motor Fuel Group Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	MPL Home Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	MPM Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	MRH Retail Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	MRH Retail Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Worcestershire Regulatory Services	MyEChef Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	My Take On Pretty	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Greater Manchester Fire & Rescue Service	Nacro	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridge City Council	Nando's Chickenland Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Nathaniel Car Sales Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Woking Borough Council	National Caravan Council Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	National Caravan Council Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Solihull Metropolitan Borough Council	National Exhibition Centre t/a Amadeus	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bradford Metropolitan District Council	National Federation of Fish Friers Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Horsham District Council	National Federation of Meat and Food Traders	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warwickshire County Council	National Federation of Property Professionals t/a Propertymark	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Islington	National Federation of Retail Newsagents	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	National Hairdressers’ Federation Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	National Karting Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	National Pawnbrokers Association Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	National Trust	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Midlands Fire & Rescue Service	Nationwide Building Society	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Nationwide Caterers Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Nationwide Caterers Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Monmouthshire County Council	Natural Animal Feeds	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Natural Balance Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Norfolk County Council	Naturediet Pet Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	Nature's Finest Food Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Nature's Finest Food Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Central Bedfordshire Council	Natures Plus-UK	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Naylors Finance Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	NEMI Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Sussex County Council	Nestle UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Network Homes Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Newby Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Greater Manchester Fire & Rescue Service	New Charter Housing Trust Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	NewKeeCo Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Sutton	Newmarket Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	New Zealand Honey Europe Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Doncaster Metropolitan Borough Council	Next Distribution Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Leicestershire County Council	Next Retail Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Denbighshire County Council	NHC Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Tyne and Wear Fire & Rescue Service	NHS Property Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	NHTL	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	nibnibs Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Essex County Council	Nicholas John Thake	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
St Helens Metropolitan Borough Council	Nichols plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Nikken	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cumbria County Council	Nilfisk Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Nisa Retail Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oxfordshire County Council	Nominet	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Northamptonshire Childminding Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Northamptonshire Council	Northamptonshire Childminding Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Yorkshire County Council	Northern Energy Supplies Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	Northern Restaurants Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	Northwood GB Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Stockport Metropolitan Borough Council	Notcutts Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Notting Hill Housing Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warwick District Council	Nuffield Health	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Nuffield Health	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Nursery Connections Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Nusteel Structures Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bath and North East Somerset Council	Nutrisure Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	Nutrivitality Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Oakman Inns and Restaurants Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Welwyn Hatfield Council	Ocado Retail Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Ocado Retail Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Octavia Housing	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Derbyshire District Council	Olio Exchange Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Derbyshire County Council	Olio Exchange Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	One Stop Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Luton Borough Council	One Stop Stores Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oldham Metropolitan Borough Council	Online 4 Baby Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Opun Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Orange Imports Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Gloucestershire County Council	Orange Tree Toys Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Orchid Pubs & Dining Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Origin Housing Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	Ornamental Aquatic Trade Association Ltd (OATA)	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Ornamental Aquatic Trade Association Ltd (OATA)	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	Oscar's	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oxfordshire County Council	Oxfam Activities Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oxfordshire County Council	Oxford Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Sussex County Council	Paladone Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bracknell Forest Council	Panasonic	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Papa Johns (GB) Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Papa Johns (GB) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Devon Council	Parkdean Resorts Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	Park Garage Group Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Park Garage Group Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Parking Control Management	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of York Council	Park Leisure 2000 Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Park Resorts Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent Fire & Rescue Service	Parkstone Ltd : Trading as Hoopers Stores	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	Party Delights Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Paxton & Whitfield Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	P & B Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Solihull Metropolitan Borough Council	Peers Hardy (UK) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Penguin Books	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Pennyhill Park Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey Heath Borough Council	Pennyhill Park Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	PepsiCo International	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Perkier Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Pernod Ricard UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Peros Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Glasgow City Council	Peter Vardy Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Pet Food (UK) Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	Pet Industry Federation	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	Petrol Retailers Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Pets At Home Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	Petty Wood & Co. Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cumbria County Council	(PFD) Carlisle Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Pfizer Consumer Healthcare Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Pharmaquipe Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Philips Electronics UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Islington	Pho Trading Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Piccolo Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Pioneer Foods UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertsmere Borough Council	Pizza Hut (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Pizza Hut (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Places for People Leisure Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Tyne and Wear Fire & Rescue Service	Places for People Leisure Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Plamil Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Merton	Plastico Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Plenish Cleanse Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Polytime International Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Pond Yard Play Tents	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Peterborough City Council	Potter and Moore Innovations Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Poundland Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northampton Borough Council	Poundland Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Poundstretcher Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Poundworld Retail Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Power Leisure Bookmakers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	Preciouslittleone Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Precision Healthcare Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wycombe District Council	Premier Foods Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Premier Foods Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Pret a Manger (Europe) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Berkshire Council	Prezzo Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Primark Stores Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Primark Stores Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Primo Play Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
St Helens Metropolitan Borough Council	PRINCES LTD	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Principals Catering Consultants Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Dartford Borough Council	Principals Catering Consultants Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	ProfBiotics Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Proprietary Association of Great Britain	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sandwell Metropolitan Borough Council	Proxima Direct Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Gloucestershire County Council	Pulsin' Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
East Staffordshire Borough Council	Punch Taverns	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Fire & Rescue Service	Pure Gym Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of London	Pure Gym Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sandwell Metropolitan Borough Council	Purity Soft Drinks Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Pylones UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Quality Part X Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Islington	Quinola Mothergrain	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	RAC Motoring Services Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Royal Berkshire Fire & Rescue Service	Radian Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Radian Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Wycombe District Council	RAF	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	Ragus Sugars (Manufacturing) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Raleigh UK Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Royal Berkshire Fire & Rescue Service	Ramsay Health Care UK	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Ravensden Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
North Devon Council	Rawle Gammon & Baker Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Slough Borough Council	RB UK Commercial Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Red Bull	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Red Hot Lemon Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Devon County Council	Redvers & Denzil Rice Farms Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Regal Food Products Group Plc	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	Resolving Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sedgemoor District Council	Resort Restaurant Partners Consultancy Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Resource Experience Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Restaurant Bar and Grill Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	RFE International Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	R H Smith & Son (Wigmakers) Ltd trading as Smiffys	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridge City Council	Ridgeons Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Ridgeons Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	R I Furniture Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Northamptonshire Council	Right Directions Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Sandwell Metropolitan Borough Council	Rissco Foods Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	RMS International Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cannock Chase District Council	RoadChef Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Staffordshire County Council	Road Haulage Association	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Robert Dyas Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Rolf C. Hagen(U.K.) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Berkshire Council	Rolson Tools Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oxfordshire County Council	Rowse Honey	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Royal Bank of Scotland PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Edinburgh City Council	Royal Bank of Scotland PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Royal Mail	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Peterborough City Council	Royal National Institute of Blind People	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Dorset & Wiltshire Fire and Rescue Service	Royal National Lifeboat Institution	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Portsmouth City Council	Royal Navy	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Royal Voluntary Service	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Salford City Council	RRG Group Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Lincolnshire County Council	R&R Ice Cream UK Ltd.	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire County Council	R.Twining and Company Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Ryman Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Monmouthshire County Council	SA Brain & Co Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
South Wales Fire & Rescue Service	S.A. Brain & Company Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oxfordshire County Council	Sainsbury's Supermarkets Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cherwell District Council	Sainsbury's Supermarkets Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Tyne and Wear Fire & Rescue Service	Sainsbury's Supermarkets Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Sainsbury's Supermarkets Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Warrington Borough Council	Salus (UK) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Brent	Sams Chicken	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hampshire Fire & Rescue Service	Sanctuary Group	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Santa Maria UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Saracen Horse Feeds Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Oxfordshire County Council	Sara Louise Kakes Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Savills	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Savio Services Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Bolton Metropolitan Borough Council	Sayers the Bakers Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Seafish	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Blackburn with Darwen Borough Council	Seafood Pub Company Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	Seafood Trading Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	SEARLE PHARMA UK LTD	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cornwall Council	Seasalt Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Seatriever International Holdings Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Secure Living Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Manchester City Council	Select Service Partner UK Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
City of Westminster	Selfridges Retail Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cheshire East Council	Self Storage Association Limited	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Reading Borough Council	Serve Legal Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Worcestershire Regulatory Services	Servest Catering Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
West Yorkshire Trading Standards Service	Shaws (Huddersfield) Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Fire and Emergency Planning Authority	Shell UK Oil Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Surrey County Council	Shell UK Oil Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Mole Valley District Council	Shell UK Oil Products Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Eastleigh Borough Council	Shepherd Neame Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent Fire & Rescue Service	Shepherd Neame Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Kent County Council	Shepherd Neame Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Northamptonshire County Council	Sherriffs Foods Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Milton Keynes Council	Shield Safety Group Ltd	Co-ordinated	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Nottinghamshire County Council	Ship It Appliances Limited	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Newham	Shiva Hotels Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Knowsley Metropolitan Borough Council	Shorebutton Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	SIFCON INTERNATIONAL PLC	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Hertfordshire County Council	Signet Trading Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Cambridgeshire County Council	Simply Organic	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Vale of Glamorgan Council	Sloane Home Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
London Borough of Newham	Smashburger Ltd	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
Swindon Borough Council	Snack and Sandwich	Direct	Licensing;Explosives licensing;Trading standards;Petrol storage certification
